Approved Symbol	Gene family description
IFNGR2	Fibronectin type III domain containing
IGDCC3	Fibronectin type III domain containing
IGDCC4	Fibronectin type III domain containing
IGF1R	Fibronectin type III domain containing
IGFN1	Fibronectin type III domain containing
IGSF22	Fibronectin type III domain containing
IGSF9	Fibronectin type III domain containing
IGSF9B	Fibronectin type III domain containing
IL12RB1	Fibronectin type III domain containing
IL12RB2	Fibronectin type III domain containing
IL20RB	Fibronectin type III domain containing
IL27RA	Fibronectin type III domain containing
IL2RG	Fibronectin type III domain containing
IL31RA	Fibronectin type III domain containing
IL6ST	Fibronectin type III domain containing
IL7R	Fibronectin type III domain containing
INSR	Fibronectin type III domain containing
INSRR	Fibronectin type III domain containing
ITGB4	Fibronectin type III domain containing
KALRN	Fibronectin type III domain containing
L1CAM	Fibronectin type III domain containing
LIFR	Fibronectin type III domain containing
LRFN1	Fibronectin type III domain containing
LRFN2	Fibronectin type III domain containing
LRFN3	Fibronectin type III domain containing
LRFN4	Fibronectin type III domain containing
LRFN5	Fibronectin type III domain containing
LRIT1	Fibronectin type III domain containing
LRRN3	Fibronectin type III domain containing
LRRN4	Fibronectin type III domain containing
LRRN4CL	Fibronectin type III domain containing
MERTK	Fibronectin type III domain containing
MID1	Fibronectin type III domain containing
MID2	Fibronectin type III domain containing
MPL	Fibronectin type III domain containing
MYBPC1	Fibronectin type III domain containing
MYBPC2	Fibronectin type III domain containing
MYBPC3	Fibronectin type III domain containing
MYBPH	Fibronectin type III domain containing
MYBPHL	Fibronectin type III domain containing
MYLK	Fibronectin type III domain containing
MYOM1	Fibronectin type III domain containing
EFEMP1	Fibulins
EFEMP2	Fibulins
FBLN1	Fibulins
FBLN2	Fibulins
FBLN5	Fibulins
FBLN7	Fibulins
HMCN1	Fibulins
HMCN2	Fibulins
FKBP1A	FKBP prolyl isomerases
FKBP1B	FKBP prolyl isomerases
FKBP1C	FKBP prolyl isomerases
FKBP2	FKBP prolyl isomerases
FKBP3	FKBP prolyl isomerases
FKBP4	FKBP prolyl isomerases
FKBP5	FKBP prolyl isomerases
FKBP6	FKBP prolyl isomerases
FKBP7	FKBP prolyl isomerases
FKBP8	FKBP prolyl isomerases
FKBP9	FKBP prolyl isomerases
FKBP10	FKBP prolyl isomerases
FKBP11	FKBP prolyl isomerases
FKBP14	FKBP prolyl isomerases
FKBP15	FKBP prolyl isomerases
AIP	FKBP prolyl isomerases
AIPL1	FKBP prolyl isomerases
FKBPL	FKBP prolyl isomerases
FLOT1	Flotillins
FLOT2	Flotillins
FOXA1	Forkhead boxes
FOXA2	Forkhead boxes
FOXA3	Forkhead boxes
FOXB1	Forkhead boxes
FOXB2	Forkhead boxes
FOXC1	Forkhead boxes
FOXC2	Forkhead boxes
FOXD1	Forkhead boxes
FOXD2	Forkhead boxes
FOXD3	Forkhead boxes
FOXD4	Forkhead boxes
FOXE1	Forkhead boxes
FOXE3	Forkhead boxes
FOXF1	Forkhead boxes
FOXF2	Forkhead boxes
FOXG1	Forkhead boxes
FOXH1	Forkhead boxes
FOXI1	Forkhead boxes
FOXI2	Forkhead boxes
FOXJ1	Forkhead boxes
FOXJ2	Forkhead boxes
FOXJ3	Forkhead boxes
FOXK1	Forkhead boxes
FOXK2	Forkhead boxes
FOXL1	Forkhead boxes
FOXL2	Forkhead boxes
FOXM1	Forkhead boxes
FOXN1	Forkhead boxes
FOXN2	Forkhead boxes
FOXN3	Forkhead boxes
FOXN4	Forkhead boxes
FOXO1	Forkhead boxes
FOXO3	Forkhead boxes
FOXO4	Forkhead boxes
FOXO6	Forkhead boxes
FOXP1	Forkhead boxes
FOXP2	Forkhead boxes
FOXP3	Forkhead boxes
FOXP4	Forkhead boxes
FOXQ1	Forkhead boxes
FOXR1	Forkhead boxes
FOXR2	Forkhead boxes
FOXS1	Forkhead boxes
FPR1	Formyl peptide receptors
FPR2	Formyl peptide receptors
FPR3	Formyl peptide receptors
FOS	Fos transcription factor family
FOSB	Fos transcription factor family
FOSL1	Fos transcription factor family
FOSL2	Fos transcription factor family
FFAR1	Free fatty acid receptors
FFAR2	Free fatty acid receptors
FFAR3	Free fatty acid receptors
FFAR4	Free fatty acid receptors
FBP1	Fructose-1,6-bisphosphatases
FBP2	Fructose-1,6-bisphosphatases
FUT1	Fucosyltransferases
FUT10	Fucosyltransferases
FUT11	Fucosyltransferases
FUT2	Fucosyltransferases
FUT3	Fucosyltransferases
FUT4	Fucosyltransferases
FUT5	Fucosyltransferases
FUT6	Fucosyltransferases
FUT7	Fucosyltransferases
FUT8	Fucosyltransferases
FUT9	Fucosyltransferases
POFUT1	Fucosyltransferases
POFUT2	Fucosyltransferases
GPBAR1	G protein-coupled bile acid receptor
GPER1	G protein-coupled estrogen receptor
GPR1	G protein-coupled receptors, Class A orphans
GPR101	G protein-coupled receptors, Class A orphans
GPR119	G protein-coupled receptors, Class A orphans
GPR12	G protein-coupled receptors, Class A orphans
GPR132	G protein-coupled receptors, Class A orphans
GPR135	G protein-coupled receptors, Class A orphans
GPR139	G protein-coupled receptors, Class A orphans
GPR141	G protein-coupled receptors, Class A orphans
GPR142	G protein-coupled receptors, Class A orphans
GPR146	G protein-coupled receptors, Class A orphans
GPR148	G protein-coupled receptors, Class A orphans
GPR149	G protein-coupled receptors, Class A orphans
GPR15	G protein-coupled receptors, Class A orphans
GPR150	G protein-coupled receptors, Class A orphans
GPR151	G protein-coupled receptors, Class A orphans
GPR152	G protein-coupled receptors, Class A orphans
GPR153	G protein-coupled receptors, Class A orphans
GPR160	G protein-coupled receptors, Class A orphans
GPR161	G protein-coupled receptors, Class A orphans
GPR162	G protein-coupled receptors, Class A orphans
GPR17	G protein-coupled receptors, Class A orphans
GPR171	G protein-coupled receptors, Class A orphans
GPR173	G protein-coupled receptors, Class A orphans
GPR174	G protein-coupled receptors, Class A orphans
GPR176	G protein-coupled receptors, Class A orphans
GPR18	G protein-coupled receptors, Class A orphans
GPR182	G protein-coupled receptors, Class A orphans
GPR183	G protein-coupled receptors, Class A orphans
GPR19	G protein-coupled receptors, Class A orphans
GPR20	G protein-coupled receptors, Class A orphans
GPR21	G protein-coupled receptors, Class A orphans
GPR22	G protein-coupled receptors, Class A orphans
GPR25	G protein-coupled receptors, Class A orphans
GPR26	G protein-coupled receptors, Class A orphans
GPR27	G protein-coupled receptors, Class A orphans
GPR3	G protein-coupled receptors, Class A orphans
GPR31	G protein-coupled receptors, Class A orphans
GPR32	G protein-coupled receptors, Class A orphans
GPR33	G protein-coupled receptors, Class A orphans
GPR34	G protein-coupled receptors, Class A orphans
GPR35	G protein-coupled receptors, Class A orphans
GPR37	G protein-coupled receptors, Class A orphans
GPR37L1	G protein-coupled receptors, Class A orphans
GPR39	G protein-coupled receptors, Class A orphans
GPR4	G protein-coupled receptors, Class A orphans
GPR42	G protein-coupled receptors, Class A orphans
GPR45	G protein-coupled receptors, Class A orphans
GPR50	G protein-coupled receptors, Class A orphans
GPR52	G protein-coupled receptors, Class A orphans
GPR55	G protein-coupled receptors, Class A orphans
GPR6	G protein-coupled receptors, Class A orphans
GPR61	G protein-coupled receptors, Class A orphans
GPR62	G protein-coupled receptors, Class A orphans
GPR63	G protein-coupled receptors, Class A orphans
GPR65	G protein-coupled receptors, Class A orphans
GPR68	G protein-coupled receptors, Class A orphans
GPR75	G protein-coupled receptors, Class A orphans
GPR78	G protein-coupled receptors, Class A orphans
GPR79	G protein-coupled receptors, Class A orphans
GPR82	G protein-coupled receptors, Class A orphans
GPR83	G protein-coupled receptors, Class A orphans
GPR84	G protein-coupled receptors, Class A orphans
GPR85	G protein-coupled receptors, Class A orphans
GPR87	G protein-coupled receptors, Class A orphans
GPR88	G protein-coupled receptors, Class A orphans
LGR4	G protein-coupled receptors, Class A orphans
LGR5	G protein-coupled receptors, Class A orphans
LGR6	G protein-coupled receptors, Class A orphans
MAS1	G protein-coupled receptors, Class A orphans
MAS1L	G protein-coupled receptors, Class A orphans
MRGPRD	G protein-coupled receptors, Class A orphans
MRGPRE	G protein-coupled receptors, Class A orphans
MRGPRF	G protein-coupled receptors, Class A orphans
MRGPRG	G protein-coupled receptors, Class A orphans
MRGPRX1	G protein-coupled receptors, Class A orphans
MRGPRX2	G protein-coupled receptors, Class A orphans
MRGPRX3	G protein-coupled receptors, Class A orphans
MRGPRX4	G protein-coupled receptors, Class A orphans
GPR156	G protein-coupled receptors, Class C orphans
GPR158	G protein-coupled receptors, Class C orphans
GPR179	G protein-coupled receptors, Class C orphans
GPRC5A	G protein-coupled receptors, Class C orphans
GPRC5B	G protein-coupled receptors, Class C orphans
GPRC5C	G protein-coupled receptors, Class C orphans
GPRC5D	G protein-coupled receptors, Class C orphans
FZD1	G protein-coupled receptors, Class F frizzled
FZD10	G protein-coupled receptors, Class F frizzled
FZD2	G protein-coupled receptors, Class F frizzled
FZD3	G protein-coupled receptors, Class F frizzled
FZD4	G protein-coupled receptors, Class F frizzled
FZD5	G protein-coupled receptors, Class F frizzled
FZD6	G protein-coupled receptors, Class F frizzled
FZD7	G protein-coupled receptors, Class F frizzled
FZD8	G protein-coupled receptors, Class F frizzled
FZD9	G protein-coupled receptors, Class F frizzled
SMO	G protein-coupled receptors, Class F frizzled
AGGF1	G-patch domain containing
CHERP	G-patch domain containing
CMTR1	G-patch domain containing
GPANK1	G-patch domain containing
GPATCH1	G-patch domain containing
GPATCH11	G-patch domain containing
GPATCH2	G-patch domain containing
GPATCH3	G-patch domain containing
GPATCH4	G-patch domain containing
GPATCH8	G-patch domain containing
GPKOW	G-patch domain containing
NKRF	G-patch domain containing
PINX1	G-patch domain containing
RBM10	G-patch domain containing
RBM17	G-patch domain containing
RBM5	G-patch domain containing
RBM6	G-patch domain containing
SON	G-patch domain containing
SUGP1	G-patch domain containing
SUGP2	G-patch domain containing
TFIP11	G-patch domain containing
ZGPAT	G-patch domain containing
GALR1	Galanin receptors
GALR2	Galanin receptors
GALR3	Galanin receptors
CLC	Galectins
LGALS1	Galectins
LGALS12	Galectins
LGALS13	Galectins
LGALS14	Galectins
LGALS16	Galectins
LGALS2	Galectins
LGALS3	Galectins
LGALS4	Galectins
LGALS7	Galectins
LGALS7B	Galectins
LGALS8	Galectins
LGALS9	Galectins
LGALS9B	Galectins
LGALS9C	Galectins
GABRA1	Gamma-aminobutyric acid type A receptor subunits
GABRA2	Gamma-aminobutyric acid type A receptor subunits
GABRA3	Gamma-aminobutyric acid type A receptor subunits
GABRA4	Gamma-aminobutyric acid type A receptor subunits
GABRA5	Gamma-aminobutyric acid type A receptor subunits
GABRA6	Gamma-aminobutyric acid type A receptor subunits
GABRB1	Gamma-aminobutyric acid type A receptor subunits
GABRB2	Gamma-aminobutyric acid type A receptor subunits
GABRB3	Gamma-aminobutyric acid type A receptor subunits
GABRD	Gamma-aminobutyric acid type A receptor subunits
GABRE	Gamma-aminobutyric acid type A receptor subunits
GABRG1	Gamma-aminobutyric acid type A receptor subunits
GABRG2	Gamma-aminobutyric acid type A receptor subunits
GABRG3	Gamma-aminobutyric acid type A receptor subunits
GABRP	Gamma-aminobutyric acid type A receptor subunits
GABRQ	Gamma-aminobutyric acid type A receptor subunits
GABRR1	Gamma-aminobutyric acid type A receptor subunits
GABRR2	Gamma-aminobutyric acid type A receptor subunits
GABRR3	Gamma-aminobutyric acid type A receptor subunits
GABBR1	Gamma-aminobutyric acid type B receptor subunits
GABBR2	Gamma-aminobutyric acid type B receptor subunits
GGT1	Gamma-glutamyltransferases
GGT2	Gamma-glutamyltransferases
GGT3P	Gamma-glutamyltransferases
GGT4P	Gamma-glutamyltransferases
GGT5	Gamma-glutamyltransferases
GGT6	Gamma-glutamyltransferases
GGT7	Gamma-glutamyltransferases
GGT8P	Gamma-glutamyltransferases
GGTLC1	Gamma-glutamyltransferases
GGTLC2	Gamma-glutamyltransferases
GGTLC3	Gamma-glutamyltransferases
GGTLC4P	Gamma-glutamyltransferases
GGTLC5P	Gamma-glutamyltransferases
GJA1	Gap junction proteins
GJA10	Gap junction proteins
GJA3	Gap junction proteins
GJA4	Gap junction proteins
GJA5	Gap junction proteins
GJA6P	Gap junction proteins
GJA8	Gap junction proteins
GJA9	Gap junction proteins
GJB1	Gap junction proteins
GJB2	Gap junction proteins
GJB3	Gap junction proteins
GJB4	Gap junction proteins
GJB5	Gap junction proteins
GJB6	Gap junction proteins
GJB7	Gap junction proteins
GJC1	Gap junction proteins
GJC2	Gap junction proteins
GJC3	Gap junction proteins
GJD2	Gap junction proteins
GJD3	Gap junction proteins
GJD4	Gap junction proteins
GJE1	Gap junction proteins
GATA1	GATA zinc finger domain containing
GATA2	GATA zinc finger domain containing
GATA3	GATA zinc finger domain containing
GATA4	GATA zinc finger domain containing
GATA5	GATA zinc finger domain containing
GATA6	GATA zinc finger domain containing
GATAD1	GATA zinc finger domain containing
GATAD2A	GATA zinc finger domain containing
GATAD2B	GATA zinc finger domain containing
MTA1	GATA zinc finger domain containing
MTA2	GATA zinc finger domain containing
MTA3	GATA zinc finger domain containing
RERE	GATA zinc finger domain containing
TRPS1	GATA zinc finger domain containing
ZGLP1	GATA zinc finger domain containing
DEPDC5	GATOR1 subcomplex
NPRL2	GATOR1 subcomplex
NPRL3	GATOR1 subcomplex
MIOS	GATOR2 subcomplex
WDR24	GATOR2 subcomplex
WDR59	GATOR2 subcomplex
SEH1L	GATOR2 subcomplex
SEC13	GATOR2 subcomplex
NAA10	GCN5 related N-acetyltransferases
NAA11	GCN5 related N-acetyltransferases
NAA20	GCN5 related N-acetyltransferases
NAA30	GCN5 related N-acetyltransferases
NAA40	GCN5 related N-acetyltransferases
NAA50	GCN5 related N-acetyltransferases
NAA60	GCN5 related N-acetyltransferases
NAT6	GCN5 related N-acetyltransferases
NAT8	GCN5 related N-acetyltransferases
NAT8L	GCN5 related N-acetyltransferases
NAT9	GCN5 related N-acetyltransferases
NAT10	GCN5 related N-acetyltransferases
NAT14	GCN5 related N-acetyltransferases
NAT16	GCN5 related N-acetyltransferases
KAT2A	GCN5 related N-acetyltransferases
KAT2B	GCN5 related N-acetyltransferases
ELP3	GCN5 related N-acetyltransferases
AANAT	GCN5 related N-acetyltransferases
NAGS	GCN5 related N-acetyltransferases
GNPNAT1	GCN5 related N-acetyltransferases
SAT1	GCN5 related N-acetyltransferases
SAT2	GCN5 related N-acetyltransferases
SATL1	GCN5 related N-acetyltransferases
KAT14	GCN5 related N-acetyltransferases
CAPG	Gelsolin/villins
GSN	Gelsolin/villins
VIL1	Gelsolin/villins
VILL	Gelsolin/villins
AVIL	Gelsolin/villins
SVIL	Gelsolin/villins
FLII	Gelsolin/villins
SCIN	Gelsolin/villins
GEMIN2	Gemins
GEMIN4	Gemins
GEMIN5	Gemins
GEMIN6	Gemins
GEMIN7	Gemins
GEMIN8	Gemins
BRF1	General transcription factors
ERCC2	General transcription factors
ERCC3	General transcription factors
GTF2A1	General transcription factors
GTF2A2	General transcription factors
GTF2B	General transcription factors
GTF2E1	General transcription factors
GTF2E2	General transcription factors
GTF2F1	General transcription factors
GTF2F2	General transcription factors
GTF2H1	General transcription factors
GTF2H2	General transcription factors
GTF2H3	General transcription factors
GTF2H4	General transcription factors
GTF2H5	General transcription factors
GTF2I	General transcription factors
GTF3A	General transcription factors
GTF3C1	General transcription factors
GTF3C2	General transcription factors
GTF3C3	General transcription factors
GTF3C4	General transcription factors
GTF3C5	General transcription factors
GTF3C6	General transcription factors
TBP	General transcription factors
TCEA1	General transcription factors
GINS1	GINS complex
GINS2	GINS complex
GINS3	GINS complex
GINS4	GINS complex
F2	Gla domain containing
F7	Gla domain containing
F9	Gla domain containing
F10	Gla domain containing
PROC	Gla domain containing
PROS1	Gla domain containing
PROZ	Gla domain containing
BGLAP	Gla domain containing
MGP	Gla domain containing
GAS6	Gla domain containing
TTR	Gla domain containing
ITIH2	Gla domain containing
POSTN	Gla domain containing
GCGR	Glucagon receptor family
GHRHR	Glucagon receptor family
GIPR	Glucagon receptor family
GLP1R	Glucagon receptor family
GLP2R	Glucagon receptor family
SCTR	Glucagon receptor family
GCNT1	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
GCNT2	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
GCNT3	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
GCNT4	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
GCNT6	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
GCNT7	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
XYLT1	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
XYLT2	Glucosaminyl (N-acetyl) transferases/xylosyltransferases
G6PC	Glucose 6-phosphatases, catalytic
G6PC2	Glucose 6-phosphatases, catalytic
G6PC3	Glucose 6-phosphatases, catalytic
GRIA1	Glutamate ionotropic receptor AMPA type subunits
GRIA2	Glutamate ionotropic receptor AMPA type subunits
GRIA3	Glutamate ionotropic receptor AMPA type subunits
GRIA4	Glutamate ionotropic receptor AMPA type subunits
GRID1	Glutamate ionotropic receptor delta type subunits
GRID2	Glutamate ionotropic receptor delta type subunits
GRIK1	Glutamate ionotropic receptor kainate type subunits
GRIK2	Glutamate ionotropic receptor kainate type subunits
GRIK3	Glutamate ionotropic receptor kainate type subunits
GRIK4	Glutamate ionotropic receptor kainate type subunits
GRIK5	Glutamate ionotropic receptor kainate type subunits
GRIN1	Glutamate ionotropic receptor NMDA type subunits
GRIN2A	Glutamate ionotropic receptor NMDA type subunits
GRIN2B	Glutamate ionotropic receptor NMDA type subunits
GRIN2C	Glutamate ionotropic receptor NMDA type subunits
GRIN2D	Glutamate ionotropic receptor NMDA type subunits
GRIN3A	Glutamate ionotropic receptor NMDA type subunits
GRIN3B	Glutamate ionotropic receptor NMDA type subunits
GRM1	Glutamate metabotropic receptors
GRM2	Glutamate metabotropic receptors
GRM3	Glutamate metabotropic receptors
GRM4	Glutamate metabotropic receptors
GRM5	Glutamate metabotropic receptors
GRM6	Glutamate metabotropic receptors
GRM7	Glutamate metabotropic receptors
GRM8	Glutamate metabotropic receptors
GSTA1	Glutathione S-transferases
GSTA2	Glutathione S-transferases
GSTA3	Glutathione S-transferases
GSTA4	Glutathione S-transferases
GSTA5	Glutathione S-transferases
GSTA6P	Glutathione S-transferases
GSTA7P	Glutathione S-transferases
GSTK1	Glutathione S-transferases
GSTM1	Glutathione S-transferases
GSTM2	Glutathione S-transferases
GSTM3	Glutathione S-transferases
GSTM4	Glutathione S-transferases
GSTM5	Glutathione S-transferases
GSTO1	Glutathione S-transferases
GSTO2	Glutathione S-transferases
GSTO3P	Glutathione S-transferases
GSTP1	Glutathione S-transferases
GSTT1	Glutathione S-transferases
GSTT2	Glutathione S-transferases
GSTT2B	Glutathione S-transferases
GSTZ1	Glutathione S-transferases
HPGDS	Glutathione S-transferases
MGST1	Glutathione S-transferases
MGST2	Glutathione S-transferases
MGST3	Glutathione S-transferases
GK	Glycerol kinases
GK2	Glycerol kinases
GK3P	Glycerol kinases
GK4P	Glycerol kinases
GK5	Glycerol kinases
GK6P	Glycerol kinases
GPAT2	Glycerol-3-phosphate acyltransferases
GPAT3	Glycerol-3-phosphate acyltransferases
GPAT4	Glycerol-3-phosphate acyltransferases
GPAM	Glycerol-3-phosphate acyltransferases
GLRA1	Glycine receptors
GLRA2	Glycine receptors
GLRA3	Glycine receptors
GLRA4	Glycine receptors
GLRB	Glycine receptors
PYGB	Glycogen phosphorylases
PYGL	Glycogen phosphorylases
PYGM	Glycogen phosphorylases
FSHR	Glycoprotein hormone receptors
LHCGR	Glycoprotein hormone receptors
TSHR	Glycoprotein hormone receptors
ALG1	Glycosyl transferases group 1 domain containing
ALG11	Glycosyl transferases group 1 domain containing
ALG1L	Glycosyl transferases group 1 domain containing
ALG1L2	Glycosyl transferases group 1 domain containing
ALG2	Glycosyl transferases group 1 domain containing
GLT1D1	Glycosyl transferases group 1 domain containing
GTDC1	Glycosyl transferases group 1 domain containing
GYS1	Glycosyl transferases group 1 domain containing
GYS2	Glycosyl transferases group 1 domain containing
PIGA	Glycosyl transferases group 1 domain containing
ALG5	Glycosyltransferase family 2
B3GNTL1	Glycosyltransferase family 2
DPM1	Glycosyltransferase family 2
HAS1	Glycosyltransferase family 2
HAS2	Glycosyltransferase family 2
HAS3	Glycosyltransferase family 2
A3GALT2	Glycosyltransferase family 6
ABO	Glycosyltransferase family 6
GBGT1	Glycosyltransferase family 6
GLT6D1	Glycosyltransferase family 6
GLT8D1	Glycosyltransferase family 8
GLT8D2	Glycosyltransferase family 8
GXYLT1	Glycosyltransferase family 8
GXYLT2	Glycosyltransferase family 8
GYG1	Glycosyltransferase family 8
GYG2	Glycosyltransferase family 8
LARGE1	Glycosyltransferase family 8
LARGE2	Glycosyltransferase family 8
XXYLT1	Glycosyltransferase family 8
POGLUT1	Glycosyltransferase family 90
KDELC1	Glycosyltransferase family 90
KDELC2	Glycosyltransferase family 90
GPC1	Glypicans
GPC2	Glypicans
GPC3	Glypicans
GPC4	Glypicans
GPC5	Glypicans
GPC6	Glypicans
ABCD3	GOLD domain containing
FYCO1	GOLD domain containing
TMED8	GOLD domain containing
GGA1	Golgi associated, gamma adaptin ear containing, ARF binding proteins
GGA2	Golgi associated, gamma adaptin ear containing, ARF binding proteins
GGA3	Golgi associated, gamma adaptin ear containing, ARF binding proteins
GNRHR	Gonadotropin releasing hormone receptors
GNRHR2	Gonadotropin releasing hormone receptors
GPN1	GPN-loop GTPases
GPN2	GPN-loop GTPases
GPN3	GPN-loop GTPases
GRAMD1A	GRAM domain containing
GRAMD1B	GRAM domain containing
GRAMD1C	GRAM domain containing
GRAMD2	GRAM domain containing
GRAMD3	GRAM domain containing
GRAMD4	GRAM domain containing
NSMAF	GRAM domain containing
TBC1D8	GRAM domain containing
TBC1D8B	GRAM domain containing
TBC1D9	GRAM domain containing
TBC1D9B	GRAM domain containing
WBP2	GRAM domain containing
WBP2NL	GRAM domain containing
CHGA	Granins
CHGB	Granins
PCSK1N	Granins
SCG2	Granins
SCG3	Granins
SCG5	Granins
VGF	Granins
GNAS	Granins
PRL	Growth hormone family
CSH1	Growth hormone family
CSH2	Growth hormone family
CSHL1	Growth hormone family
GH1	Growth hormone family
GH2	Growth hormone family
GIMAP1	GTPases, IMAP
GIMAP2	GTPases, IMAP
GIMAP3P	GTPases, IMAP
GIMAP4	GTPases, IMAP
GIMAP5	GTPases, IMAP
GIMAP6	GTPases, IMAP
GIMAP7	GTPases, IMAP
GIMAP8	GTPases, IMAP
GUCY2C	Guanylate cyclase receptors
GUCY2D	Guanylate cyclase receptors
GUCY2EP	Guanylate cyclase receptors
GUCY2F	Guanylate cyclase receptors
GUCY2GP	Guanylate cyclase receptors
NPR1	Guanylate cyclase receptors
NPR2	Guanylate cyclase receptors
GUCY1A2	Guanylate cyclases, soluble
GUCY1A3	Guanylate cyclases, soluble
GUCY1B2	Guanylate cyclases, soluble
GUCY1B3	Guanylate cyclases, soluble
GAR1	H/ACA ribonucleoprotein complex
NHP2	H/ACA ribonucleoprotein complex
NOP10	H/ACA ribonucleoprotein complex
DKC1	H/ACA ribonucleoprotein complex
ENOPH1	HAD Asp-based non-protein phosphatases
EPHX2	HAD Asp-based non-protein phosphatases
LHPP	HAD Asp-based non-protein phosphatases
NANP	HAD Asp-based non-protein phosphatases
PHOSPHO1	HAD Asp-based non-protein phosphatases
PHOSPHO2	HAD Asp-based non-protein phosphatases
PMM1	HAD Asp-based non-protein phosphatases
PMM2	HAD Asp-based non-protein phosphatases
PNKP	HAD Asp-based non-protein phosphatases
PSPH	HAD Asp-based non-protein phosphatases
PUDP	HAD Asp-based non-protein phosphatases
PDXP	HAD Asp-based protein phosphatases
MDP1	HAD Asp-based protein phosphatases
HDHD2	Haloacid dehalogenase-like hydrolase domain containing
HDHD3	Haloacid dehalogenase-like hydrolase domain containing
LHPP	Haloacid dehalogenase-like hydrolase domain containing
NANP	Haloacid dehalogenase-like hydrolase domain containing
PUDP	Haloacid dehalogenase-like hydrolase domain containing
PUDPP1	Haloacid dehalogenase-like hydrolase domain containing
HDHD5	Haloacid dehalogenase-like hydrolase domain containing
HAUS1	HAUS augmin like complex 
HAUS2	HAUS augmin like complex 
HAUS3	HAUS augmin like complex 
HAUS4	HAUS augmin like complex 
HAUS5	HAUS augmin like complex 
HAUS6	HAUS augmin like complex 
HAUS7	HAUS augmin like complex 
HAUS8	HAUS augmin like complex 
HSPA12A	Heat shock 70kDa proteins
HSPA12B	Heat shock 70kDa proteins
HSPA13	Heat shock 70kDa proteins
HSPA14	Heat shock 70kDa proteins
HSPA1A	Heat shock 70kDa proteins
HSPA1B	Heat shock 70kDa proteins
HSPA1L	Heat shock 70kDa proteins
HSPA2	Heat shock 70kDa proteins
HSPA4	Heat shock 70kDa proteins
HSPA4L	Heat shock 70kDa proteins
HSPA5	Heat shock 70kDa proteins
HSPA6	Heat shock 70kDa proteins
HSPA7	Heat shock 70kDa proteins
HSPA8	Heat shock 70kDa proteins
HSPA9	Heat shock 70kDa proteins
HSPH1	Heat shock 70kDa proteins
HYOU1	Heat shock 70kDa proteins
HSP90AA1	Heat shock 90kDa proteins
HSP90AA3P	Heat shock 90kDa proteins
HSP90AB1	Heat shock 90kDa proteins
HSP90B1	Heat shock 90kDa proteins
TRAP1	Heat shock 90kDa proteins
CENPBD1	Helix-turn-helix CENPB type domain containing
CENPB	Helix-turn-helix CENPB type domain containing
JRKL	Helix-turn-helix CENPB type domain containing
JRK	Helix-turn-helix CENPB type domain containing
POGK	Helix-turn-helix CENPB type domain containing
POGZ	Helix-turn-helix CENPB type domain containing
TIGD3	Helix-turn-helix CENPB type domain containing
TIGD1	Helix-turn-helix CENPB type domain containing
TIGD6	Helix-turn-helix CENPB type domain containing
TIGD7	Helix-turn-helix CENPB type domain containing
TIGD4	Helix-turn-helix CENPB type domain containing
TIGD5	Helix-turn-helix CENPB type domain containing
TIGD2	Helix-turn-helix CENPB type domain containing
HBA1	Hemoglobin subunits
HBA2	Hemoglobin subunits
HBB	Hemoglobin subunits
HBD	Hemoglobin subunits
HBE1	Hemoglobin subunits
HBG1	Hemoglobin subunits
HBG2	Hemoglobin subunits
HBM	Hemoglobin subunits
HBQ1	Hemoglobin subunits
HBZ	Hemoglobin subunits
HRH1	Histamine receptors
HRH2	Histamine receptors
HRH3	Histamine receptors
HRH4	Histamine receptors
HTN1	Histatins and statherin
HTN3	Histatins and statherin
STATH	Histatins and statherin
HLA-A	Histocompatibility complex
HLA-B	Histocompatibility complex
HLA-C	Histocompatibility complex
HLA-DMA	Histocompatibility complex
HLA-DMB	Histocompatibility complex
HLA-DOA	Histocompatibility complex
HLA-DOB	Histocompatibility complex
HLA-DPA1	Histocompatibility complex
HLA-DPA2	Histocompatibility complex
HLA-DPA3	Histocompatibility complex
HLA-DPB1	Histocompatibility complex
HLA-DPB2	Histocompatibility complex
HLA-DQA1	Histocompatibility complex
HLA-DQA2	Histocompatibility complex
HLA-DQB1	Histocompatibility complex
HLA-DQB2	Histocompatibility complex
HLA-DQB3	Histocompatibility complex
HLA-DRA	Histocompatibility complex
HLA-DRB1	Histocompatibility complex
HLA-DRB2	Histocompatibility complex
HLA-DRB3	Histocompatibility complex
HLA-DRB4	Histocompatibility complex
HLA-DRB5	Histocompatibility complex
HLA-DRB6	Histocompatibility complex
HLA-DRB7	Histocompatibility complex
HLA-DRB8	Histocompatibility complex
HLA-DRB9	Histocompatibility complex
HLA-E	Histocompatibility complex
HLA-F	Histocompatibility complex
HLA-G	Histocompatibility complex
HLA-H	Histocompatibility complex
HLA-J	Histocompatibility complex
HLA-K	Histocompatibility complex
HLA-L	Histocompatibility complex
HLA-N	Histocompatibility complex
HLA-P	Histocompatibility complex
HLA-S	Histocompatibility complex
HLA-T	Histocompatibility complex
HLA-U	Histocompatibility complex
