accession_number	gene	all_gene_names
A1A580	KRTAP23-1	KRTAP23-1
A4D1E9	GTPBP10	GTPBP10
Q5T3J3	LRIF1	LRIF1
P0CG41	CTAGE8	CTAGE8
Q8NGB4	OR4S1	OR4S1
Q6UWL6	KIRREL2	KIRREL2
P0CG42	FAM157B	FAM157B
O43739	CYTH3	CYTH3
Q9HBD1	RC3H2	RC3H2
P0CG43	FAM157C	FAM157C
Q8WW43	APH1B	APH1B
Q8NGB6	OR4M2	OR4M2
P56277	CMC4	CMC4
A0A1B0GX31	TRBV7-6	TRBV7-6
Q96RL6	SIGLEC11	SIGLEC11
P56278	MTCP1	MTCP1
Q2VPA4	CR1L	CR1L
Q96RL7	VPS13A	VPS13A
P56279	TCL1A	TCL1A
Q8NGB8	OR4F15	OR4F15
Q86UZ6	ZBTB46	ZBTB46
P0CG47	UBB	UBB
P29622	SERPINA4	SERPINA4
Q8NGB9	OR4F6	OR4F6
Q9UBB4	ATXN10	ATXN10
P0CG48	UBC	UBC
Q9UBB5	MBD2	MBD2
Q5CZC0	FSIP2	FSIP2
P08684	CYP3A4	CYP3A4
Q9UBB6	NCDN	NCDN
Q9Y2N7	HIF3A	HIF3A
P08686	CYP21A2	CYP21A2
Q5VZI3	TMEM268	TMEM268
Q92963	RIT1	RIT1
Q9UBB9	TFIP11	TFIP11
Q8WUM0	NUP133	NUP133
Q92966	SNAPC3	SNAPC3
P61586	RHOA	RHOA
Q495A1	TIGIT	TIGIT
Q96HU1	SGSM3	SGSM3
P61587	RND3	RND3
Q569K4	ZNF385B	ZNF385B
Q92968	PEX13	PEX13
Q8WUM4	PDCD6IP	PDCD6IP
P34931	HSPA1L	HSPA1L
Q68DQ2	CRYBG3	CRYBG3
P34932	HSPA4	HSPA4
O60320	FAM189A1	FAM189A1
Q9H8M1	COQ10B	COQ10B
Q9UQ52	CNTN6	CNTN6
Q569K6	CCDC157	CCDC157
Q9UQ53	MGAT4B	MGAT4B
Q9H8M2	BRD9	BRD9
P13994	CCDC130	CCDC130
Q15154	PCM1	PCM1
P13995	MTHFD2	MTHFD2
P19113	HDC	HDC
Q8WUM9	SLC20A1	SLC20A1
Q15155	NOMO1	NOMO1
Q02535	ID3	ID3
P0DML2	CSH1	CSH1
Q96HU8	DIRAS2	DIRAS2
P0DML3	CSH2	CSH2
Q9H8M5	CNNM2	CNNM2
Q9H8M7	MINDY3	MINDY3
Q6P4Q7	CNNM4	CNNM4
P56730	PRSS12	PRSS12
Q02539	HIST1H1A	HIST1H1A
P42330	AKR1C3	AKR1C3
Q9BWX1	PHF7	PHF7
Q9H8M9	EVA1A	EVA1A
P42331	ARHGAP25	ARHGAP25
Q5JPB2	ZNF831	ZNF831
Q6ZTR5	CFAP47	CFAP47
Q59GN2	RPL39P5	RPL39P5
Q3SYF9	KRTAP19-7	KRTAP19-7
Q8N3T1	GALNT15	GALNT15
Q5QP82	DCAF10	DCAF10
Q6ZTR6	C18orf65	C18orf65
Q9BWX5	GATA5	GATA5
Q6ZTR7	FAM92B	FAM92B
P42336	PIK3CA	PIK3CA
P07360	C8G	C8G
P42338	PIK3CB	PIK3CB
P28300	LOX	LOX
Q8N3T6	TMEM132C	TMEM132C
O43280	TREH	TREH
O43281	EFS	EFS
O43283	MAP3K13	MAP3K13
E9PRG8	C11orf98	C11orf98
Q6PCE3	PGM2L1	PGM2L1
P78540	ARG2	ARG2
Q5TG92	C1orf195	C1orf195
O43286	B4GALT5	B4GALT5
P51522	ZNF83	ZNF83
Q75MW2	ZNF767P	ZNF767P
A2RU54	HMX2	HMX2
M0R2J8	DCDC1	DCDC1
P39687	ANP32A	ANP32A
P51523	ZNF84	ZNF84
Q2M3C6	TMEM266	TMEM266
Q7L5Y1	ENOSF1	ENOSF1
P78543	BTG2	BTG2
Q2M3C7	SPHKAP	SPHKAP
Q15612	OR1Q1	OR1Q1
Q9UEW3	MARCO	MARCO
P78545	ELF3	ELF3
A6NLW8	DUXA	DUXA
A6NDG6	PGP	PGP
A0A539	TRBV4-2	TRBV4-2
Q96EA4	SPDL1	SPDL1
Q15615	OR4D1	OR4D1
Q7L5Y6	DET1	DET1
P78549	NTHL1	NTHL1
Q4L235	AASDH	AASDH
Q9UEW8	STK39	STK39
Q15617	OR8G1	OR8G1
Q7L5Y9	MAEA	MAEA
Q15619	OR1C1	OR1C1
Q9H596	DUSP21	DUSP21
P68032	ACTC1	ACTC1
Q9H598	SLC32A1	SLC32A1
Q9BTD1	SHANK2-AS3	SHANK2-AS3
P68036	UBE2L3	UBE2L3
Q9BTD3	TMEM121	TMEM121
Q02080	MEF2B	MEF2B
P21860	ERBB3	ERBB3
Q86WB0	ZC3HC1	ZC3HC1
Q99417	MYCBP	MYCBP
Q9H3R0	KDM4C	KDM4C
P83859	QRFP	QRFP
Q9H3R1	NDST4	NDST4
Q99418	CYTH2	CYTH2
O95210	STBD1	STBD1
Q02083	NAAA	NAAA
Q9H3R2	MUC13	MUC13
Q9Y462	ZNF711	ZNF711
Q8N8P7	C11orf44	C11orf44
Q6N043	ZNF280D	ZNF280D
Q9BTD8	RBM42	RBM42
Q9Y463	DYRK1B	DYRK1B
Q02086	SP2	SP2
O43741	PRKAB2	PRKAB2
P0C024	NUDT7	NUDT7
Q9H3R5	CENPH	CENPH
P0C025	NUDT17	NUDT17
O95214	LEPROTL1	LEPROTL1
Q86WB7	UNC93A	UNC93A
Q96T49	PPP1R16B	PPP1R16B
Q9Y466	NR2E1	NR2E1
Q9Y467	SALL2	SALL2
A4D1F6	LRRD1	LRRD1
O15303	GRM6	GRM6
O15304	SIVA1	SIVA1
Q8NGC0	OR5AU1	OR5AU1
Q9Y468	L3MBTL1	L3MBTL1
O43745	CHP2	CHP2
O95218	ZRANB2	ZRANB2
B1ANS9	WDR64	WDR64
P56282	POLE2	POLE2
O15305	PMM2	PMM2
Q8NGC1	OR11G2	OR11G2
Q96RM1	SPRR2F	SPRR2F
O95219	SNX4	SNX4
Q9UJS0	SLC25A13	SLC25A13
Q8NGC2	OR4E2	OR4E2
O43747	AP1G1	AP1G1
Q8NGC3	OR10G2	OR10G2
Q6UWM5	GLIPR1L1	GLIPR1L1
O43749	OR1F1	OR1F1
Q8NGC4	OR10G3	OR10G3
Q8WW52	FAM151A	FAM151A
Q9HBE1	PATZ1	PATZ1
Q8NGC5	OR6J1	OR6J1
Q9UBC0	ONECUT1	ONECUT1
Q6UWM7	LCTL	LCTL
Q8NGC6	OR4K17	OR4K17
Q9UBC1	NFKBIL1	NFKBIL1
Q6UWM9	UGT2A3	UGT2A3
Q8NGC7	OR11H6	OR11H6
Q8IWI9	MGA	MGA
Q1ED39	KNOP1	KNOP1
Q9UBC2	EPS15L1	EPS15L1
Q8NGC8	OR11H7	OR11H7
Q9HBE4	IL21	IL21
Q9UBC3	DNMT3B	DNMT3B
Q7L2E3	DHX30	DHX30
Q8NGC9	OR11H4	OR11H4
Q9HBE5	IL21R	IL21R
Q9UBC5	MYO1A	MYO1A
Q2VPB7	AP5B1	AP5B1
Q8WW59	SPRYD4	SPRYD4
Q9UBC7	GALP	GALP
P33151	CDH5	CDH5
Q92973	TNPO1	TNPO1
P08697	SERPINF2	SERPINF2
Q9UBC9	SPRR3	SPRR3
Q92974	ARHGEF2	ARHGEF2
A0A1B0GX49	TRBV6-4	TRBV6-4
Q9NYP3	DONSON	DONSON
Q495B1	ANKDD1A	ANKDD1A
P61599	NAA20	NAA20
Q92979	EMG1	EMG1
O60330	PCDHGA12	PCDHGA12
Q9NYP7	ELOVL5	ELOVL5
Q8WUN7	UBTD2	UBTD2
Q96HV5	TMEM41A	TMEM41A
Q02543	RPL18A	RPL18A
O60331	PIP5K1C	PIP5K1C
Q9NYP8	C21orf62	C21orf62
Q9BQ04	RBM4B	RBM4B
Q9NYP9	MIS18A	MIS18A
Q15165	PON2	PON2
O60333	KIF1B	KIF1B
A0A1B0GVM5	ETDC	ETDC
P11801	PSKH1	PSKH1
Q15166	PON3	PON3
A0A1B0GVM6	C11orf97	C11orf97
P34947	GRK5	GRK5
P11802	CDK4	CDK4
Q9H8N7	ZNF395	ZNF395
Q9BQ08	RETNLB	RETNLB
Q02548	PAX5	PAX5
O60336	MAPKBP1	MAPKBP1
Q3SYG4	BBS9	BBS9
Q6P4R8	NFRKB	NFRKB
P34949	MPI	MPI
O60337	MARCH6	MARCH6
P0DMM9	SULT1A3	SULT1A3
P42345	MTOR	MTOR
Q6BCY4	CYB5R2	CYB5R2
Q06432	CACNG1	CACNG1
P56746	CLDN15	CLDN15
Q8N3U4	STAG2	STAG2
P56747	CLDN6	CLDN6
Q53GG5	PDLIM3	PDLIM3
P56748	CLDN8	CLDN8
P56749	CLDN12	CLDN12
O43290	SART1	SART1
O43291	SPINT2	SPINT2
O43292	GPAA1	GPAA1
O43293	DAPK3	DAPK3
O43294	TGFB1I1	TGFB1I1
Q8TBP0	TBC1D16	TBC1D16
Q2M3D2	EXOC3L2	EXOC3L2
O43295	SRGAP3	SRGAP3
A6NLX3	SPDYE4	SPDYE4
P51530	DNA2	DNA2
O43296	ZNF264	ZNF264
A6NLX4	TMEM210	TMEM210
P51531	SMARCA2	SMARCA2
P51532	SMARCA4	SMARCA4
Q8NBH2	KY	KY
P78552	IL13RA1	IL13RA1
O43298	ZBTB43	ZBTB43
Q15620	OR8B8	OR8B8
Q8TBP5	FAM174A	FAM174A
O43299	AP5Z1	AP5Z1
Q8TBP6	SLC25A40	SLC25A40
Q15622	OR7A5	OR7A5
A2RU67	FAM234B	FAM234B
Q96EB1	ELP4	ELP4
A6NDH6	OR5H15	OR5H15
A4FU28	CTAGE9	CTAGE9
P78556	CCL20	CCL20
J3KSC0	LINC01387	LINC01387
Q96MR6	CFAP57	CFAP57
Q96MR7	OBSCN-AS1	OBSCN-AS1
P78559	MAP1A	MAP1A
P16562	CRISP2	CRISP2
Q96MR9	ZNF560	ZNF560
Q96EB6	SIRT1	SIRT1
Q5QFB9	PAPPA-AS1	PAPPA-AS1
Q15628	TRADD	TRADD
Q15629	TRAM1	TRAM1
P0DJ93	SMIM13	SMIM13
Q6UB28	METAP1D	METAP1D
P03950	ANG	ANG
Q9BTE0	NAT9	NAT9
P03951	F11	F11
Q4UJ75	ANKRD20A4	ANKRD20A4
P03952	KLKB1	KLKB1
Q9BTE1	DCTN5	DCTN5
Q8N8Q1	CYB561D1	CYB561D1
Q99424	ACOX2	ACOX2
Q7Z5G4	GOLGA7	GOLGA7
P23109	AMPD1	AMPD1
Q9NTU4	CATSPERZ	CATSPERZ
O60806	TBX19	TBX19
Q99426	TBCB	TBCB
Q96T51	RUFY1	RUFY1
Q9BTE3	MCMBP	MCMBP
Q8N8Q3	ENDOV	ENDOV
Q96T52	IMMP2L	IMMP2L
Q9H3S1	SEMA4A	SEMA4A
P03956	MMP1	MMP1
Q96T53	MBOAT4	MBOAT4
Q53TS8	C2CD6	C2CD6
Q9NTU7	CBLN4	CBLN4
O60809	PRAMEF10	PRAMEF10
Q8IY17	PNPLA6	PNPLA6
Q96T54	KCNK17	KCNK17
Q9Y471	CMAHP	CMAHP
Q9BTE6	AARSD1	AARSD1|PTGES3L-AARSD1
Q9H3S3	TMPRSS5	TMPRSS5
Q8IY18	SMC5	SMC5
Q02094	RHAG	RHAG
O95221	OR5F1	OR5F1
Q96T55	KCNK16	KCNK16
Q9BTE7	DCUN1D5	DCUN1D5
Q9Y473	ZNF175	ZNF175
Q9H3S4	TPK1	TPK1
Q86WC4	OSTM1	OSTM1
O95222	OR6A2	OR6A2
Q8N8Q8	COX18	COX18
Q9H3S5	PIGM	PIGM
Q8N8Q9	NIPA2	NIPA2
O43752	STX6	STX6
Q96T58	SPEN	SPEN
Q86WC6	PPP1R27	PPP1R27
Q9H3S7	PTPN23	PTPN23
Q6UWN0	LYPD4	LYPD4
Q96T59	CDRT15	CDRT15
Q9Y478	PRKAB1	PRKAB1
Q8NGD0	OR4M1	OR4M1
Q8IWJ2	GCC2	GCC2
O15315	RAD51B	RAD51B
Q8NGD1	OR4N2	OR4N2
O95229	ZWINT	ZWINT
Q9UJT0	TUBE1	TUBE1
Q96RN1	SLC26A8	SLC26A8
Q8NGD2	OR4K2	OR4K2
P61566	ERVK-24	ERVK-24
P61581	ERVK-24	ERVK-24
P63129	ERVK-24	ERVK-24
P63145	ERVK-24	ERVK-24
Q9UJT1	TUBD1	TUBD1
Q8NGD3	OR4K5	OR4K5
A8MXT2	MAGEB17	MAGEB17
Q6UWN5	LYPD5	LYPD5
P50213	IDH3A	IDH3A
Q9Y2P0	ZNF835	ZNF835
Q9UJT2	TSKS	TSKS
Q8WW62	TMED6	TMED6
O43759	SYNGR1	SYNGR1
O15318	POLR3G	POLR3G
Q8NGD4	OR4K1	OR4K1
Q8NGD5	OR4K14	OR4K14
Q9UBD0	HSFX1	HSFX1|HSFX2
Q6UWN8	SPINK6	SPINK6
Q96RN5	MED15	MED15
A0A1B0GX51	TRBV7-8	TRBV7-8
P43681	CHRNA4	CHRNA4
Q9HBF4	ZFYVE1	ZFYVE1
Q9UBD3	XCL2	XCL2
Q9Y2P4	SLC27A6	SLC27A6
F8WBI6	GOLGA8N	GOLGA8N
Q6QNY0	BLOC1S3	BLOC1S3
Q9HBF5	ST20	ST20
Q9Y2P5	SLC27A5	SLC27A5
P50219	MNX1	MNX1
Q6QNY1	BLOC1S2	BLOC1S2
Q9UBD5	ORC3	ORC3
Q9Y2P7	ZNF256	ZNF256
Q9UBD6	RHCG	RHCG
Q9UJT9	FBXL7	FBXL7
Q0WX57	USP17L24	USP17L24|USP17L25|USP17L26|USP17L27|USP17L28|USP17L29|USP17L30
A0A1B0GX56	TRDV1	TRDV1
Q9P1P4	TAAR3P	TAAR3P
Q9Y2P8	RCL1	RCL1
P43686	PSMC4	PSMC4
Q92982	NINJ1	NINJ1
Q3YBM2	TMEM176B	TMEM176B
Q9P1P5	TAAR2	TAAR2
Q64ET8	FRG2	FRG2
Q9UBD9	CLCF1	CLCF1
Q92985	IRF7	IRF7
P15248	IL9	IL9
Q9NYQ3	HAO2	HAO2
Q495C1	RNF212	RNF212
P54105	CLNS1A	CLNS1A
Q15170	TCEAL1	TCEAL1
Q92988	DLX4	DLX4
Q9NQA3	WASH6P	WASH6P
P54107	CRISP1	CRISP1
Q92989	CLP1	CLP1
Q9NYQ6	CELSR1	CELSR1
Q5VZK9	CARMIL1	CARMIL1
Q9UQ72	PSG11	PSG11
Q15172	PPP2R5A	PPP2R5A
P54108	CRISP3	CRISP3
Q9NYQ7	CELSR3	CELSR3
Q9NQA5	TRPV5	TRPV5
P0DMN0	SULT1A4	SULT1A4
Q15173	PPP2R5B	PPP2R5B
O60341	KDM1A	KDM1A
Q9BQ13	KCTD14	KCTD14
Q9NYQ8	FAT2	FAT2
A0A1B0GVN3	C2orf92	C2orf92
Q6J4K2	SLC8B1	SLC8B1
Q9UQ74	PSG8	PSG8
O60343	TBC1D4	TBC1D4
Q9BQ15	NABP2	NABP2
Q96HW7	INTS4	INTS4
Q9BQ16	SPOCK3	SPOCK3
Q02556	IRF8	IRF8
A0A140G945	CRYAA2	CRYAA2
O60346	PHLPP1	PHLPP1
O60347	TBC1D12	TBC1D12
P56750	CLDN17	CLDN17
P37058	HSD17B3	HSD17B3
A6NF01	POM121B	POM121B
P37059	HSD17B2	HSD17B2
P42356	PI4KA	PI4KA
P42357	HAL	HAL
Q8TD84	DSCAML1	DSCAML1
Q8ND04	SMG8	SMG8
Q8TD86	CALML6	CALML6
Q8N3V7	SYNPO	SYNPO
P01303	NPY	NPY
Q8ND07	BBOF1	BBOF1
P07384	CAPN1	CAPN1
P28324	ELK4	ELK4
Q5T089	MORN1	MORN1
P28325	CST5	CST5
Q5XXA6	ANO1	ANO1
A6NDI0	TRIM49B	TRIM49B
P28328	PEX2	PEX2
P01308	INS	INS
P78560	CRADD	CRADD
Q96MS0	ROBO3	ROBO3
P28329	CHAT	CHAT
P78562	PHEX	PHEX
Q8NBI2	CYB561A3	CYB561A3
Q8NBI3	DRAXIN	DRAXIN
P78563	ADARB1	ADARB1
Q15631	TSN	TSN
Q6I9Y2	THOC7	THOC7
Q96MS3	GLT1D1	GLT1D1
Q6J9G0	STYK1	STYK1
Q8NBI5	SLC43A3	SLC43A3
Q8NBI6	XXYLT1	XXYLT1
Q15633	TARBP2	TARBP2
A2VEC9	SSPO	SSPO
P12694	BCKDHA	BCKDHA
Q8TBQ9	TMEM167A	TMEM167A
A1E959	ODAM	ODAM
Q6UB35	MTHFD1L	MTHFD1L
Q15637	SF1	SF1
Q9UEY8	ADD3	ADD3
Q96EC8	YIPF6	YIPF6
O60810	PRAMEF4	PRAMEF4
O60811	PRAMEF2	PRAMEF2
O60812	HNRNPCL1	HNRNPCL1
Q9BTF0	THUMPD2	THUMPD2
O60813	PRAMEF11	PRAMEF11
Q8IY21	DDX60	DDX60
O60814	HIST1H2BK	HIST1H2BK
Q8IY22	CMIP	CMIP
Q7Z5H3	ARHGAP22	ARHGAP22
Q7Z5H4	VN1R5	VN1R5
P83876	TXNL4A	TXNL4A
Q96T60	PNKP	PNKP
A3KFT3	OR2M5	OR2M5
Q99435	NELL2	NELL2
Q7Z5H5	VN1R4	VN1R4
Q4V9L6	TMEM119	TMEM119
Q8N8R3	SLC25A29	SLC25A29
Q99436	PSMB7	PSMB7
Q99437	ATP6V0B	ATP6V0B
Q8IY26	PLPP6	PLPP6
Q8N8R5	C2orf69	C2orf69
Q9H3T2	SEMA6C	SEMA6C
Q99439	CNN2	CNN2
O95231	VENTX	VENTX
Q9H3T3	SEMA6B	SEMA6B
Q8N8R7	ARL14EP	ARL14EP
O43760	SYNGR2	SYNGR2
Q6N063	OGFOD2	OGFOD2
Q96T66	NMNAT3	NMNAT3
Q9Y483	MTF2	MTF2
O95232	LUC7L3	LUC7L3
Q9Y484	WDR45	WDR45
O43761	SYNGR3	SYNGR3
O15321	TM9SF1	TM9SF1
Q96T68	SETDB2	SETDB2
P11362	FGFR1	FGFR1
Q9Y485	DMXL1	DMXL1
O43763	TLX2	TLX2
Q86WD7	SERPINA9	SERPINA9
O95235	KIF20A	KIF20A
P32302	CXCR5	CXCR5
Q9Y487	ATP6V0A2	ATP6V0A2
O95236	APOL3	APOL3
O43765	SGTA	SGTA
Q8NGE0	OR10AD1	OR10AD1
Q9HDB5	NRXN3	NRXN3
Q9Y4C0	NRXN3	NRXN3
O95237	LRAT	LRAT
O95238	SPDEF	SPDEF
Q8NGE1	OR6C4	OR6C4
Q6N069	NAA16	NAA16
P50221	MEOX1	MEOX1
O43766	LIAS	LIAS
A8MXU0	DEFB108A	DEFB108A|DEFB108C
Q8NGE2	OR2AP1	OR2AP1
P50222	MEOX2	MEOX2
O95239	KIF4A	KIF4A
Q09013	DMPK	DMPK
Q8NGE3	OR10P1	OR10P1
O15327	INPP4B	INPP4B
O43768	ENSA	ENSA
Q9UJU2	LEF1	LEF1
Q8IWK6	ADGRA3	ADGRA3
Q9Y2Q0	ATP8A1	ATP8A1
Q9Y2Q1	ZNF257	ZNF257
Q9UJU3	ZNF112	ZNF112
P50225	SULT1A1	SULT1A1
Q9UBE0	SAE1	SAE1
Q6NWY9	PRPF40B	PRPF40B
Q8NGE5	OR10A7	OR10A7
P50226	SULT1A2	SULT1A2
A6NIE6	RRN3P2	RRN3P2
Q8NGE7	OR9K2	OR9K2
Q9Y2Q3	GSTK1	GSTK1
Q9UJU5	FOXD3	FOXD3
Q14314	FGL2	FGL2
Q9P1Q0	VPS54	VPS54
Q8NGE8	OR4D9	OR4D9
Q14315	FLNC	FLNC
Q09019	DMWD	DMWD
Q9UJU6	DBNL	DBNL
Q9HBG4	ATP6V0A4	ATP6V0A4
A6NIE9	PRSS29P	PRSS29P
Q8NGE9	OR9Q2	OR9Q2
Q9Y2Q5	LAMTOR2	LAMTOR2
Q9HBG6	IFT122	IFT122
Q92990	GLMN	GLMN
P43694	GATA4	GATA4
Q9HBG7	LY9	LY9
Q14318	FKBP8	FKBP8
Q9P1Q5	OR1A1	OR1A1
Q9UBE8	NLK	NLK
Q9Y2Q9	MRPS28	MRPS28
Q92993	KAT5	KAT5
A0A1B0GX68	TRBV2	TRBV2
Q92994	BRF1	BRF1
Q5VZL5	ZMYM4	ZMYM4
Q92995	USP13	USP13
Q9BYB0	SHANK3	SHANK3
P43699	NKX2-1	NKX2-1
Q9NQB0	TCF7L2	TCF7L2
P15259	PGAM2	PGAM2
Q8WUP2	FBLIM1	FBLIM1
P33176	KIF5B	KIF5B
Q92997	DVL3	DVL3
Q9UQ80	PA2G4	PA2G4
Q9H8P0	SRD5A3	SRD5A3
Q15181	PPA1	PPA1
Q6IE81	JADE1	JADE1
Q9BYB4	GNB1L	GNB1L
Q6BEB4	SP5	SP5
E7EU14	PPP5D1	PPP5D1
P86434	ADORA2A-AS1	ADORA2A-AS1
Q9NYR8	RDH8	RDH8
Q9BQ24	ZFYVE21	ZFYVE21
Q9NYR9	NKIRAS2	NKIRAS2
Q9UQ84	EXO1	EXO1
Q15185	PTGES3	PTGES3
Q3KQU3	MAP7D1	MAP7D1
Q495D7	LINC01559	LINC01559
O60353	FZD6	FZD6
Q6S5L8	SHC4	SHC4
Q86T03	PIP4P1	PIP4P1
O60356	NUPR1	NUPR1
Q9UQ88	CDK11A	CDK11A
P34969	HTR7	HTR7
Q6ZTU2	EP400P1	EP400P1
P0DPQ6	DDIT3	DDIT3
P35638	DDIT3	DDIT3
P58004	SESN2	SESN2
P58005	SESN3	SESN3
O60359	CACNG3	CACNG3
P52888	THOP1	THOP1
A6NNA2	SRRM3	SRRM3
P63302	SELENOW	SELENOW
Q8TD90	MAGEE2	MAGEE2
Q8TD91	MAGEC3	MAGEC3
Q5T8I3	FAM102B	FAM102B
Q53GI3	ZNF394	ZNF394
A6NNA5	DRGX	DRGX
Q5JPE7	NOMO2	NOMO2
Q8TD94	KLF14	KLF14
Q06455	RUNX1T1	RUNX1T1
Q6NTE8	MRNIP	MRNIP
P28330	ACADL	ACADL
P28331	NDUFS1	NDUFS1
Q5T8I9	HENMT1	HENMT1
P28332	ADH6	ADH6
A0AV02	SLC12A8	SLC12A8
P28335	HTR2C	HTR2C
Q6PKX4	DOK6	DOK6
P28336	NMBR	NMBR
Q96MT1	RNF145	RNF145
Q8TBR4	STAG3L4	STAG3L4
P51553	IDH3G	IDH3G
Q96MT3	PRICKLE1	PRICKLE1
Q8NBJ4	GOLM1	GOLM1
Q8TBR5	CIRBP-AS1	CIRBP-AS1
Q15642	TRIP10	TRIP10
Q96MT4	LINC01600	LINC01600
Q8NBJ5	COLGALT1	COLGALT1
Q15643	TRIP11	TRIP11
Q8TBR7	TLCD3A	TLCD3A
A0A0J9YX75	TRBV6-9	TRBV6-9
Q8NBJ7	SUMF2	SUMF2
A4FU49	SH3D21	SH3D21
Q15645	TRIP13	TRIP13
P82094	TMF1	TMF1
P16581	SELE	SELE
P05204	HMGN2	HMGN2
Q96MT7	CFAP44	CFAP44
Q8NBJ9	SIDT2	SIDT2
Q15646	OASL	OASL
Q96MT8	CEP63	CEP63
Q15648	MED1	MED1
P24903	CYP2F1	CYP2F1
Q15649	ZNHIT3	ZNHIT3
P83881	RPL36A	RPL36A
Q99440	LINC01587	LINC01587
Q96ED9	HOOK2	HOOK2
Q99442	SEC62	SEC62
Q5TEU4	NDUFAF5	NDUFAF5
Q8IY31	IFT20	IFT20
P03971	AMH	AMH
Q52LW3	ARHGAP29	ARHGAP29
P03973	SLPI	SLPI
O60825	PFKFB2	PFKFB2
Q8IY33	MICALL2	MICALL2
Q99445	GML	GML
Q8IY34	SLC15A3	SLC15A3
O60826	CCDC22	CCDC22
Q99447	PCYT2	PCYT2
Q9NTW7	ZFP64	ZFP64
Q9H3U1	UNC45A	UNC45A
Q9Y490	TLN1	TLN1
O60828	PQBP1	PQBP1
O60829	PAGE4	PAGE4
P69849	NOMO3	NOMO3
Q8IY37	DHX37	DHX37
Q8N8S7	ENAH	ENAH
Q96T75	DSCR8	DSCR8
Q9Y493	ZAN	ZAN
P03979	TRGV3	TRGV3
Q96T76	MMS19	MMS19
Q9H3U5	MFSD1	MFSD1
O95243	MBD4	MBD4
O43772	SLC25A20	SLC25A20
Q6N075	MFSD5	MFSD5
Q0VAF6	SYCN	SYCN
Q9H3U7	SMOC2	SMOC2
Q9Y496	KIF3A	KIF3A
Q8IWL1	SFTPA2	SFTPA2
P25774	CTSS	CTSS
P07858	CTSB	CTSB
Q8IWL2	SFTPA1	SFTPA1
Q8NGF0	OR52B6	OR52B6
P32314	FOXN2	FOXN2
Q6UWP2	DHRS11	DHRS11
O95248	SBF1	SBF1
Q5JSZ5	PRRC2B	PRRC2B
Q8NGF1	OR52R1	OR52R1
O43776	NARS	NARS
Q8IWL3	HSCB	HSCB
O15335	CHAD	CHAD
O95249	GOSR1	GOSR1
Q8NGF3	OR51D1	OR51D1
Q14320	FAM50A	FAM50A
P38398	BRCA1	BRCA1
Q96RP3	UCN2	UCN2
Q9HBH0	RHOF	RHOF
Q8NGF4	OR5AP2	OR5AP2
Q9Y2R0	COA3	COA3
Q9HBH1	PDF	PDF
A8MXV4	NUDT19	NUDT19
Q9UJV3	MID2	MID2
Q6UWP7	LCLAT1	LCLAT1
Q8IWL8	STH	STH
Q6UWP8	SBSN	SBSN
Q9Y2R2	PTPN22	PTPN22
Q8NGF6	OR10W1	OR10W1
Q9UBF1	MAGEC2	MAGEC2
Q09028	RBBP4	RBBP4
Q8NGF7	OR5B17	OR5B17
Q14324	MYBPC2	MYBPC2
P15260	IFNGR1	IFNGR1
Q9UBF2	COPG2	COPG2
A8MXV6	CDRT15L2	CDRT15L2
Q96B01	RAD51AP1	RAD51AP1
Q8NGF8	OR4B1	OR4B1
Q96RP7	GAL3ST4	GAL3ST4
Q9Y2R4	DDX52	DDX52
P50238	CRIP1	CRIP1
Q96B02	UBE2W	UBE2W
Q9HBH5	RDH14	RDH14
Q8NGF9	OR4X2	OR4X2
Q9Y2R5	MRPS17	MRPS17
Q96RP8	KCNA7	KCNA7
Q9UJV8	PURG	PURG
Q96RP9	GFM1	GFM1
Q9UBF6	RNF7	RNF7
Q9UJV9	DDX41	DDX41
Q9HBH7	BEX1	BEX1
Q5VZM2	RRAGB	RRAGB
Q7L2H7	EIF3M	EIF3M
Q9UBF8	PI4KB	PI4KB
Q9NYS0	NKIRAS1	NKIRAS1
Q9Y2R9	MRPS7	MRPS7
Q9HBH9	MKNK2	MKNK2
A0A1B0GX78	TRBV12-5	TRBV12-5
B5MCY1	TDRD15	TDRD15
Q9UBF9	MYOT	MYOT
P02647	APOA1	APOA1
P02649	APOE	APOE
Q9BYC2	OXCT2	OXCT2
O76000	OR2B3	OR2B3
Q9NQC1	JADE2	JADE2
Q9UQ90	SPG7	SPG7
O76001	OR2J3	OR2J3
Q6IMI4	SULT6B1	SULT6B1
Q9NQC3	RTN4	RTN4
O76002	OR2J2	OR2J2
Q9BQ31	KCNS3	KCNS3
Q9NYS7	WSB2	WSB2
O76003	GLRX3	GLRX3
Q9BYC5	FUT8	FUT8
P34972	CNR2	CNR2
Q6IMI6	SULT1C3	SULT1C3
Q99909	SSX3	SSX3
O60361	NME2P1	NME2P1
Q8WUQ7	CACTIN	CACTIN
Q5W111	SPRYD7	SPRYD7
Q9H0A0	NAT10	NAT10
P0DMP1	MTRNR2L12	MTRNR2L12
Q5TBA9	FRY	FRY
Q96HY6	DDRGK1	DDRGK1
Q3KQV3	ZNF792	ZNF792
P0DMP2	SRGAP2B	SRGAP2B
Q15195	PLGLA	PLGLA
Q02575	NHLH1	NHLH1
Q9BYC8	MRPL32	MRPL32
Q96HY7	DHTKD1	DHTKD1
Q9NQC7	CYLD	CYLD
Q6A555	TXNDC8	TXNDC8
P11831	SRF	SRF
